,Shop,Address,Latitude,Longitude,Borough
45,Kurk Chicken Bar,"139a Ballards Ln, Finchley, London N3 1LJ, UK",51.605152,-0.1886158,Barnet
46,Kurk Grilled Chicken,"64 High St, Edgware HA8 7EJ, UK",51.61024,-0.278354,Barnet
47,Millenium Fried Chicken,"13 Church Rd, Hendon, London NW4 4EB, UK",51.589875,-0.2258365,Barnet
48,Ming Chinese Takeaway,"60 Watling Ave, Edgware HA8 0LT, UK",51.601735,-0.265122,Barnet
49,Ministry of Chicken,"37 Watford Way, Hendon, London NW4 3JH, UK",51.5839241,-0.2286667,Barnet
50,New TENNESSEELAND,"81 Ballards Ln, Finchley, London N3 1XT, UK",51.6038817,-0.1903612,Barnet
51,Pepe's Piri Piri Hendon,"11 Watford Way, Hendon, London NW4 3JL, UK",51.5833004,-0.2279034,Barnet
52,RJ's Chicken Hut,"92 E Barnet Rd, New Barnet, London, Barnet EN4 8RQ, UK",51.6491875,-0.1701622,Barnet
53,Red Rooster Fried Chicken,"113 The Broadway, Mill Hill, London NW7 3TG, UK",51.61582199999999,-0.2452625,Barnet
54,Reggae Spice Edgware,"Silkstream Parade, 3, Watling Ave, Edgware HA8 0EJ, United Kingdom",51.6029608,-0.263477,Barnet
55,Royal Chicken & Pizza,"1178 High Rd, Whetstone, London N20 0LH, UK",51.62785479999999,-0.1744365,Barnet
56,Sam's Chicken,"14 Cricklewood Ln, Cricklewood, London NW2 1EX, UK",51.55705889999999,-0.2144326,Barnet
57,Sam's Chicken Finchley,"351 Ballards Ln, North Finchley, London N12 8LJ, UK",51.6139392,-0.1770187,Barnet
58,Spicy Grill London,"122 Golders Green Rd, Golders Green, London NW11 8HB, UK",51.5739285,-0.2006926,Barnet
59,Sushimania,"210 Station Rd, Edgware HA8 7AR, UK",51.6146246,-0.2754824,Barnet
60,Tasty's / Cha Cha's Chicken & Pizza,"62 High St, Edgware HA8 7EJ, UK",51.610202,-0.27827,Barnet
61,Tennessee Express,"73 Colney Hatch Ln, Muswell Hill, London N10 1LR, UK",51.5992889,-0.1473586,Barnet
62,The Arkley,"Barnet Rd, Barnet EN5 3EP, UK",51.652517,-0.219536,Barnet
63,The Cock Inn,"Chalk Ln, London, Barnet EN4 9HU, UK",51.6545116,-0.154473,Barnet
64,The Jolly Badger Harvester,"128 Hale Ln, Edgware HA8 9RZ, UK",51.617084,-0.2604623,Barnet
65,The Orange Tree,"7 Totteridge Village, Totteridge, London N20 8NX, UK",51.63006499999999,-0.197421,Barnet
66,The Red Lion Stonehouse,"31 High St, Barnet EN5 5UW, UK",51.65245100000001,-0.1990132,Barnet
67,Umi's Grilled Chicken & Pizza,"72 High St, Barnet EN5 5SJ, UK",51.65322700000001,-0.200258,Barnet
68,Zam's Chicken,"Silkstream Parade, 4, Watling Ave, Edgware HA8 0EJ, United Kingdom",51.6029242,-0.26347,Barnet
69,wagamama,"Prince Charles Dr, Hendon, London NW4 3FP, UK",51.5771088,-0.2239497999999999,Barnet
70,Ace Fish Bar,"182 Halfway St, Sidcup DA15 8DJ, UK",51.4410436,0.0871639,Bexley
71,Bear & Ragged Staff,"2 London Rd, Dartford DA1 4BH, UK",51.451807,0.177922,Bexley
72,Big Bites Fast Food,"80 St James Way, Sidcup DA14 5HF, UK",51.42048,0.1322847,Bexley
73,Cafe Mojito,"219 Broadway, Bexleyheath DA6 7EJ, UK",51.457232,0.139654,Bexley
74,Carved,"146 Broadway, Bexleyheath DA6 7DW, UK",51.456951,0.143228,Bexley
75,Chick chicken,"5a Central Ave, Welling DA16 3AX, UK",51.4643844,0.0999516,Bexley
76,Delicio restaurant (Bexleyheath),"157 Broadway, Bexleyheath DA6 7EY, UK",51.4569348,0.1415142,Bexley
77,Favorite Chicken & Ribs,"268 Sherwood Park Ave, Sidcup, Bexley DA15 9JN, UK",51.4475809,0.1181999,Bexley
78,Frankie & Benny's,"28/70 Broadway, Bexleyheath DA6 7LL, UK",51.4561797,0.1499194,Bexley
79,Guans Chinese Restaurant,"255 Westwood Ln, Sidcup DA15 9PS, UK",51.45102259999999,0.103577,Bexley
80,Hippie Chippy Fish Bar,"4 Station Rd, Dartford DA1 3QA, UK",51.4500338,0.1817199,Bexley
81,Ho Wan Chinese Takeaway Bexleyheath,"165 Long Ln, Bexleyheath DA7 5AE, UK",51.465933,0.145725,Bexley
82,Jolly Fenman,"64 to 68 Blackfen Road, Sidcup DA15 8SW, United Kingdom",51.45148830000001,0.0908548,Bexley
83,KFC,"1 Manor Rd, Erith DA8 2AB, UK",51.478831,0.181671,Bexley
84,KFC,"Market Parade, 3 High St, Sidcup DA14 6EP, UK",51.42498399999999,0.1061931,Bexley
85,Kings Fish Restaurant,"2 Station Parade, Sidcup DA15 7DB, UK",51.4333256,0.1030115,Bexley
86,Maxin Chicken Pizza Ribs & Kebab,"13 Crayford High St, Dartford DA1 4HH, UK",51.452166,0.177618,Bexley
87,Metro's fried chicken Erith,"180 West St, Erith DA8 1AN, UK",51.4864785,0.1709673,Bexley
88,New Ruby Belvedere,"88 Lower Rd, Belvedere DA17 6DZ, UK",51.4900613,0.1625162,Bexley
89,Perfect Fried Chicken,"127 Birling Rd, Erith DA8 3HY, UK",51.471819,0.1756122,Bexley
90,Pizza Chicken & Kebab Express,"178 West St, Erith DA8 1AN, UK",51.4864457,0.1710536,Bexley
91,Pizza Hot Land,"1 St John's Rd, Sidcup DA14 6ES, UK",51.424613,0.1065034,Bexley
92,Pom Pom Fish Bar,"7A Alford Rd, Erith DA8 1PP, UK",51.4840875,0.1653037,Bexley
93,Radhuny Express,"13A Pickford Ln, Bexleyheath DA7 4RD, UK",51.4643025,0.1324881,Bexley
94,Sunrise City Chinese Takeaway,"41 Cray Rd, Sidcup DA14 5DE, UK",51.417382,0.1159446,Bexley
95,THE GRILL & FRIED CHICKEN LTD,"Welling DA16 3PB, UK",51.4627688,0.1049468,Bexley
96,Tasty Chicken,"51 Nuxley Rd, Belvedere DA17 5JN, UK",51.4821468,0.1460114,Bexley
97,Tasty Chicken Grill & Pizza,"19 Upper Wickham Ln, Welling DA16 3AA, UK",51.463097,0.108276,Bexley
98,The Sun Chinese Takeaway,"257 Bexley Rd, Erith DA8 3EX, UK",51.473704,0.1627504,Bexley
99,Toby Carvery Bexleyheath,"Crook Log, Bexleyheath DA6 8EQ, UK",51.4591295,0.1264712,Bexley
100,Yacht,"167 Long Ln, Bexleyheath DA7 5AE, UK",51.4662108,0.1448936,Bexley
101,Best Chicken,"240A Ealing Rd, Middlesex HA0 4QL, UK",51.543569,-0.2974252,Brent
102,Boston Peri Peri Chicken,"263 Preston Rd, Harrow HA3 0PS, UK",51.5723576,-0.29481,Brent
103,CHICKEN LAND,"44 Queensbury Station Parade, Edgware HA8 5NN, UK",51.59486589999999,-0.2850568,Brent
104,CHICKEN LAND,"27 Blackbird Hill, London NW9 8RS, UK",51.564833,-0.263048,Brent
105,Carolina Chicken,"43 Burnt Oak Broadway, Edgware HA8 5JZ, UK",51.5998332,-0.2668033,Brent
106,Chicken Cottage Kilburn,"365 Kilburn High Rd, Kilburn, London NW6 7QB, UK",51.54549,-0.2022897,Brent
107,Chicken Cottage Willesden,"24-25 Station Terrace, Kensal Green, London NW10 5RP, UK",51.5335709,-0.2190324,Brent
108,Chicken Delight,"156 Church Rd, Willesden, London NW10 9NH, UK",51.5472342,-0.2500673,Brent
109,Chicken Inn,"105 Cricklewood Broadway, Cricklewood, London NW2 3JG, UK",51.55498249999999,-0.2135203,Brent
110,Chicken Wonder London,"132 High Rd, Willesden, London NW10 2PJ, UK",51.5473644,-0.2329757,Brent
111,Chicken World Wembley,"145 Wembley Park Dr, Wembley HA9 8HQ, UK",51.56222710000001,-0.2810773,Brent
112,Chicken land,"209 East Ln, Wembley HA0 3NG, UK",51.5624575,-0.3057204,Brent
113,Chiqo,"224A Preston Rd, Wembley HA9 8PB, UK",51.5712579,-0.2945604,Brent
114,Fancy Chicken 'N' Pizza,"228, 226 Preston Rd, Wembley HA9 8PB, UK",51.57131099999999,-0.294591,Brent
115,Favorite Chicken & Ribs,"73 Kilburn High Rd, Kilburn, London NW6 6HY, UK",51.5375155,-0.1932427,Brent
116,Janchi Korean Kitchen,"Unit C (First Floor, 399 Edgware Rd, London NW9 0FH, United Kingdom",51.5931986,-0.2598967,Brent
117,KFC,"434 High Rd, Wembley HA9 6AH, UK",51.553804,-0.291906,Brent
118,KFC,"161 Kilburn High Rd, Kilburn, London NW6 7HY, UK",51.5409741,-0.1970994,Brent
119,Manhattan Chicken & Pizza,"Manhattan Chicken & Pizza, 2 Neeld Cres, Wembley HA9 6QU, UK",51.5518539,-0.2833466,Brent
120,Nando's,"Empire Way, Wembley HA9 0PA, UK",51.5567151,-0.2836907,Brent
121,Nanny Bill's @ Boxpark Wembley,"Unit 6, Box Park Wembley, 18 Olympic Way, London HA9 0JT, United Kingdom",51.5605486,-0.2799151,Brent
122,New Jersey Chicken,"203 Edgware Rd, London NW9 6LP, UK",51.5873988,-0.2517233,Brent
123,New Royal Fried Chicken & Ribs,"443 High Rd, Wembley HA9 7AF, UK",51.55293289999999,-0.2953157,Brent
124,PST PERFECT CHICKEN (Wembley),"317 Harrow Rd, Wembley HA9 6BA, UK",51.5530073,-0.2858291,Brent
125,Pepe's Piri Piri,"413-415 High Rd, Wembley HA9 7AB, UK",51.553411,-0.2939818,Brent
126,Pepe's Piri Piri Kingsbury,"654 Kingsbury Road, Kingsbury Circle, London NW9 9HN, UK",51.5849906,-0.2806736,Brent
127,Peri Peri Chicken House,"45 Kilburn High Rd, North Maida Vale, London NW6 5SB, UK",51.536371,-0.1918135,Brent
128,Quality Fried Chicken,"Neasden, London NW10 0AA, United Kingdom",51.5593111,-0.2494734,Brent
129,Rio's Peri Peri Wembley,"16 Forty Ave, Wembley HA9 9JS, UK",51.5657173,-0.2785695,Brent
130,Rocky's,"Stonebridge, London NW10 8LY, United Kingdom",51.54101980000001,-0.2612156,Brent
131,Royal Chicken,"20 Harrow Rd, Wembley HA9 6PG, UK",51.54569249999999,-0.2730016000000001,Brent
132,Royal Fried Chicken,"Harrow Rd, Wembley HA0 3EL, UK",51.5529241,-0.2953659,Brent
133,Royal chicken n pizza,"441 Kenton Rd, Harrow HA3 0XY, UK",51.5866376,-0.2983772,Brent
134,Sam's Chicken,"84 High St, Harlesden, London NW10 4SJ, UK",51.5358698,-0.2461208,Brent
135,Sam's Chicken Kingsbury,"642 Kingsbury Road, Kingsbury Circle, London NW9 9HN, UK",51.5850109,-0.2801515,Brent
136,Sam's Chicken Willesden Green,"47 High Rd, Willesden, London NW10 2TE, UK",51.5473752,-0.2267215,Brent
137,Sams Chicken,"177 Edgware Rd, London NW9 6LP, UK",51.5868681,-0.2511721,Brent
138,Selekt Chicken London,"201 Cricklewood Broadway, Cricklewood, London NW2 3HS, UK",51.5573167,-0.2164097,Brent
139,Selekt Chicken Wembley,"Ealing Rd, Wembley HA0 4LL, UK",51.5418506,-0.2979334,Brent
140,Southern Fried Chicken,"65 Salusbury Rd, Kilburn, London NW6 6NJ, UK",51.535075,-0.204742,Brent
141,Vinushnth Tasty Chicken,"25A Bridge Rd, Wembley HA9 9AB, UK",51.56432940000001,-0.2780098,Brent
142,Walli's Chicken,"798A Harrow Rd, Wembley HA0 3EL, UK",51.5550618,-0.31541,Brent
143,Zam's Chicken & Pizza,"Willesden, London NW10 1BD, United Kingdom",51.5503781,-0.2405565,Brent
144,Zams Chicken & Pizza,"207-209 Edgware Rd, London NW9 6LP, UK",51.5875026,-0.2518386,Brent
145,Zams Chicken & Pizza,"281 High Rd, Willesden, London NW10 2JY, UK",51.5481689,-0.2378161,Brent
146,chicken village,"5 Kilburn Ln, Kensal Green, London W10 4AE, UK",51.5284096,-0.2161375,Brent
147,ASK Italian,"3 East St, Bromley BR1 1AA, UK",51.4060901,0.0152405,Bromley
148,Barrel & Horn,"204-206 High St, Bromley BR1 1PW, UK",51.405887,0.0137012,Bromley
149,Cafe Medi restaurant,"332 High St, Orpington BR6 0NQ, UK",51.3737647,0.0976382,Bromley
150,Café Rouge,"12-13, Market Square, Bromley BR1 1NA, UK",51.4058283,0.015565,Bromley
151,Chai Naasto - Beckenham,"2-4 Fairfield Rd, Beckenham BR3 3LD, UK",51.407165,-0.027123,Bromley
152,Crispy Cod,"114-116 High St, Orpington BR6 0JT, UK",51.379056,0.101993,Bromley
153,Crystal Lake,"109 High St, Orpington BR6 0LG, UK",51.3786341,0.1018987,Bromley
154,Dee's Kitchen,"163 Masons Hill, Bromley BR2 9HW, UK",51.3957238,0.025614,Bromley
155,Econo Pizza,"51 Mottingham Rd, Mottingham, London SE9 4QZ, UK",51.4369708,0.0442786,Bromley
156,Favorite Chicken & Ribs,"68 Kimmeridge Rd, London SE9 4EB, UK",51.4269553,0.0464692,Bromley
157,Favorite Chicken & Ribs,"114 High St, London SE20 7EZ, UK",51.4153878,-0.0534003,Bromley
158,Favorite Chicken & Ribs,"286 High St, Beckenham BR3 1DY, UK",51.4068805,-0.031233,Bromley
159,Frankie & Benny's,"Unit 2A, Farnborough Way, Orpington BR6 7DH, United Kingdom",51.36179,0.072911,Bromley
160,Fu Do Chinese Take Away,"79 Beckenham Ln, Bromley BR2 0DN, UK",51.4063075,0.0037096,Bromley
161,Island Fish & Chips,"363 Chipperfield Rd, Orpington BR5 2LJ, UK",51.3954853,0.1074768,Bromley
162,KFC,"73-75 High St, Bromley BR1 1JY, UK",51.4022152,0.0160116,Bromley
163,KFC,"172 High St, Orpington BR6 0JW, UK",51.3777749,0.1005321,Bromley
164,KFC,"206 High St, West Wickham BR4 0LZ, UK",51.37776179999999,-0.0252896,Bromley
165,Miami Fried Chicken Anerley,"67 Anerley Rd, London SE19 2AS, UK",51.4158784,-0.07199849999999999,Bromley
166,Miso Noodle Bar,"132 High St, Beckenham BR3 1EB, UK",51.4077163,-0.0266549,Bromley
167,Miso Noodle Bar,"10 East St, Bromley BR1 1QX, UK",51.40656490000001,0.0158423,Bromley
168,Miso Noodle Bar,"268-270 High St, Orpington BR6 0NB, UK",51.3753768,0.0988346,Bromley
169,Morley's Beckenham,"165-167 Beckenham Rd, Beckenham BR3 4PT, UK",51.4088281,-0.0409383,Bromley
170,Morley's Fried Chicken,"3 High St, London SE20 7HJ, UK",51.41327930000001,-0.051469,Bromley
171,Morley's Orpington,"24 Carlton Parade, Orpington BR6 0JB, UK",51.3821301,0.1068777,Bromley
172,Ollies kebab and pizza,"115 High St, Orpington BR6 7AZ, UK",51.359628,0.0721078,Bromley
173,Orpington Express,"261 High St, Orpington BR6 0NW, UK",51.3749711,0.0989578,Bromley
174,Parkside Restaurant,"5 Chislehurst Rd, Orpington BR6 0DF, UK",51.38009599999999,0.102999,Bromley
175,Pato Lounge,"202-206 High St, Orpington BR6 0JN, UK",51.3770514,0.09989859999999999,Bromley
176,Quality Fishin Chips&kebab,"344 High St, Orpington BR6 0NQ, UK",51.373499,0.097469,Bromley
177,Sakura Sushi Bromley,"20 Addington Rd, West Wickham BR4 9BS, UK",51.3739139,0.0014091,Bromley
178,Seven Stars,"30 London Rd, Bromley BR1 3QR, UK",51.4094,0.0107503,Bromley
179,Swan and Mitre,"260-262 High St, Bromley BR1 1PG, UK",51.4071209,0.0116277,Bromley
180,The Crooked Billet,"286 Southborough Ln, Bromley BR2 8AA, UK",51.3902559,0.05407389999999999,Bromley
181,The Rib Shack Grill & Bar,"5 Station Square, Orpington BR5 1LY, UK",51.3899536,0.0753481,Bromley
182,Toby Carvery Crown,"155 Bromley Common, Bromley BR2 9RJ, UK",51.3892412,0.0357785,Bromley
183,Toby Carvery Eden Park,"422 Upper Elmers End Rd, Beckenham BR3 3HQ, UK",51.38992750000001,-0.027211,Bromley
184,Tom Bell Bromley,"187 Widmore Rd, Bromley BR1 2RG, UK",51.4056268,0.0351111,Bromley
185,Tom Bell Fish & Chips,"409 Crofton Rd, Orpington BR6 8NL, UK",51.3669154,0.0547228,Bromley
186,Top Fryer,"75 Burnt Ash Ln, Bromley BR1 5AA, UK",51.4200926,0.0191229,Bromley
187,Welcome,"24 Kent Rd, Orpington BR5 4AD, UK",51.3864603,0.1119004,Bromley
188,Yo Sushi,"97, The Glades Shopping Centre, High St, Bromley BR1 1DN, United Kingdom",51.4036931,0.0168691,Bromley
189,Bintang,"93 Kentish Town Rd, London NW1 8NY, UK",51.5435363,-0.1418981,Camden
190,Bird,"21-22 Chalk Farm Rd, Camden Town, London NW1 8BF, UK",51.5423705,-0.1466665,Camden
191,Chick 'n' Sours,"1A Earlham St, London WC2H 9LL, UK",51.5136214,-0.1282076,Camden
192,Chicken Cottage,"239 Finchley Rd, London NW3 6LS, UK",51.547538,-0.1804088,Camden
193,Chicken Cottage Holborn,"130 High Holborn, Holborn, London WC1V 6PS, UK",51.5174966,-0.121865,Camden
194,Chicken Shop Holborn,"199-206 High Holborn, Holborn, London WC1V 7BD, UK",51.5171546,-0.1222014,Camden
195,KFC,"71 Tottenham Court Rd, Bloomsbury, London W1T 2HD, UK",51.5204368,-0.1344817,Camden
196,King Rooster,"127 King's Cross Rd, Kings Cross, London WC1X 9BJ, UK",51.52946799999999,-0.116019,Camden
197,Los Pollos,"159A Kentish Town Rd, Kentish Town, London NW1 8PD, UK",51.54555,-0.141839,Camden
198,Lucky Fried Chicken,"The Grafton Arms, 20 Prince of Wales Rd, Kentish Town, London NW5 3LG, UK",51.5467769,-0.1444556,Camden
199,Lulu Crispy Chicken,"Camden Town, London NW1 8AH, UK",51.54227299999999,-0.1474715,Camden
200,Pizza & Chicken Zone,"171 Kentish Town Rd, Kentish Town, London NW1 8PD, UK",51.54598799999999,-0.141951,Camden
201,Simply Chicken,"129 Drummond St, London NW1 2HL, UK",51.5269895,-0.1367517,Camden
202,Supreme Fried Chicken & Kebabs,"292 Grays Inn Rd, Kings Cross, London WC1X 8EB, UK",51.52768,-0.1184807,Camden
203,Sushi Salsa - Camden,"3A, Camden Wharf, 28 Jamestown Rd, Camden Town, London NW1 7BY, UK",51.5407945,-0.1454212,Camden
204,Tennessee Fried Chicken,"304 Kilburn High Rd, Kilburn, London NW6 2DB, UK",51.5443594,-0.2006226,Camden
205,"The Flask, Hampstead","14 Flask Walk, London NW3 1HE, UK",51.5565821,-0.1773395,Camden
206,Wagamama,"255 Finchley Rd, London NW3 6LU, UK",51.5478039,-0.1807577,Camden
207,WingWing Krispy Chicken,"30 Woburn Pl, Bloomsbury, London WC1H 0JR, UK",51.52448589999999,-0.127927,Camden
208,Yaki Box,"8AH, Camden Lock Pl, London, United Kingdom",51.54169150000001,-0.1463287,Camden
209,On The Bab St Paul's,"9 Ludgate Broadway, London EC4V 6DU, UK",51.513476,-0.1025211,City of London
210,Arizona Fried Chicken,"165 Portland Rd, South Norwood, London SE25 4UY, UK",51.395405,-0.0676663,Croydon
211,Charlies Fried Chicken,"344 Limpsfield Rd, South Croydon CR2 9BX, UK",51.3195484,-0.0649447,Croydon
212,Chicken Cottage Crystal Palace,"78 Westow Hill, Upper Norwood, London SE19 1SB, UK",51.41968749999999,-0.0795282,Croydon
213,Chicken Cottage Norbury,"1426 London Rd, Norbury, London SW16 4BZ, UK",51.4104959,-0.1224908,Croydon
214,Chicken Cottage Thornton Heath,"92A Brigstock Rd, Thornton Heath CR7 7JA, UK",51.3979497,-0.1020061,Croydon
215,Chicken Express South Norwood,"165 Portland Rd, South Norwood, London SE25 4UY, UK",51.3954141,-0.0676978,Croydon
216,Chicken Hut Mitcham Road,"387 Mitcham Rd, Croydon CR0 3HP, UK",51.3860737,-0.1229155,Croydon
217,Chicken Hut Waddon,"43 Waddon Rd, Croydon CR0 4LH, UK",51.3717556,-0.1094355,Croydon
218,Chicken Maxx,"1058 London Rd, Thornton Heath CR7 7ND, UK",51.4011946,-0.1180391,Croydon
219,Chicken World Broad Green,"263 London Rd, Croydon CR0 2RL, UK",51.3838485,-0.1086142,Croydon
220,Chicken World Croydon Church Street,"65 Church St, Croydon CR0 1RH, UK",51.3733189,-0.1034816,Croydon
221,Coqfighter Croydon,"Unit 19 Boxpark, 99 George St, Croydon CR0 1LD, United Kingdom",51.37500199999999,-0.093645,Croydon
222,Corners Chicken & Ribs,"10 Green Ln, Thornton Heath CR7 8BA, UK",51.4081357,-0.1054568,Croydon
223,Crepes & Cones,"24-26 S End, Croydon CR0 1DN, UK",51.3664988,-0.0991823,Croydon
224,Croydon Morleys Fried Chicken,"304 Whitehorse Rd, Croydon CR0 2LE, UK",51.3928411,-0.0936902,Croydon
225,Elroys Chicken & Pizza,"47 Whitehorse Rd, Croydon CR0 2JG, UK",51.3847927,-0.0976146,Croydon
226,Everyday's Croydon North End,"136 N End, Croydon CR0 1UE, UK",51.3778534,-0.1023647,Croydon
227,Famous Chicken & Ribs Mitcham Road,"230 Mitcham Rd, Croydon CR0 3JJ, UK",51.382502,-0.115244,Croydon
228,Favorite Chicken & Ribs,"67A High St, South Norwood, London SE25 6EB, UK",51.3991911,-0.07481159999999999,Croydon
229,Favorite Chicken & Ribs,"126 Brighton Rd, Coulsdon CR5 2ND, UK",51.3215043,-0.1376568,Croydon
230,Favorite Chicken & Ribs - Addiscombe,"319 Lower Addiscombe Rd, Croydon CR0 6RF, UK",51.38210369999999,-0.06961869999999999,Croydon
231,Favorite Chicken & Ribs New Addington,"28 Central Parade, New Addington, Croydon CR0 0JB, UK",51.3417642,-0.0149793,Croydon
232,Favorite Chicken Selsdon,"176 Addington Rd, South Croydon CR2 8LB, UK",51.3438019,-0.0617176,Croydon
233,Favourite Chicken Addiscombe,"317A Lower Addiscombe Rd, Croydon CR0 6RF, UK",51.3820391,-0.06962689999999999,Croydon
234,Flame & Fried,"64 Church St, Croydon CR0 1RB, UK",51.37354699999999,-0.103533,Croydon
235,G1 New Morley's,"26A High St, South Norwood, London SE25 6HA, UK",51.3998715,-0.0743192,Croydon
236,Galitos Piri Piri Croydon,"10 S End, Croydon CR0 1DL, UK",51.3670378,-0.0992015,Croydon
237,J Star Fried Chicken,"141 Milne Park E, New Addington, Croydon CR0 0BF, UK",51.3357137,-0.004177699999999999,Croydon
238,JFC,"Croydon CR0 1FG, United Kingdom",51.3734425,-0.1019714,Croydon
239,KFC,"746A London Rd, Thornton Heath CR7 6JA, UK",51.39352350000001,-0.11391,Croydon
240,KFC,"253 Lower Addiscombe Rd, Croydon CR0 6RD, UK",51.3807148,-0.0721666,Croydon
