,Shop,Address,Latitude,Longitude,Borough
54,Costa Coffee,"Unit 8, Brent Cross Shopping Park, Tiliing Road, London NW2 1LS, UK",51.5719417,-0.2234202,Barnet
55,Costa Coffee,"Brent South Shopping Park, London NW2 1LS, United Kingdom",51.5721163,-0.2254903,Barnet
56,Costa Coffee,"Tesco Brent Cross, Tilling Rd, London NW2 1LZ, UK",51.57451229999999,-0.2149854,Barnet
57,Costa Coffee,"14 Central Circus, Hendon, London NW4 3AS, UK",51.58307989999999,-0.2268845,Barnet
58,Costa Coffee,"27 Temple Fortune Parade, London NW11 0QX, UK",51.58349579999999,-0.1998718,Barnet
59,Costa Coffee,"62/64 High Rd, East Finchley, London N2 9PN, UK",51.5889327,-0.1637793,Barnet
60,Costa Coffee,"The Burroughs, Hendon, London NW4 4BT, UK",51.5897474,-0.2289878,Barnet
61,Costa Coffee,"12 Greyhound Hill, Hendon, London NW4 4JS, UK",51.5904673,-0.2298422,Barnet
62,Costa Coffee,"130 Colindale Ave, London NW9 4AX, UK",51.5946462,-0.2504365,Barnet
63,Costa Coffee,"146-148 Burnt Oak Broadway, London HA8 0AX, UK",51.6016373,-0.2682653,Barnet
64,Costa Coffee,"32 Ballards Ln, Finchley, London N3 2BJ, UK",51.6023126,-0.1920309,Barnet
65,Costa Coffee,"Coppetts Centre, N Circular Rd, London N12 0SH, UK",51.6067106,-0.1550987,Barnet
66,Costa Coffee,"Unit 2 Friern Bridge Retail Park, Pegasus Way, London N11 3PW, United Kingdom",51.6108203,-0.143358,Barnet
67,Costa Coffee,"19 The Broadway, Mill Hill, London NW7 3LN, UK",51.614261,-0.2486984,Barnet
68,Costa Coffee,"Low Cost Lighting Direct, High Rd, North Finchley, London N12 8PR, UK",51.6165392,-0.1772043,Barnet
69,Costa Coffee,"1287 High Rd, Whetstone, London N20 9HS, UK",51.6309252,-0.1753915,Barnet
70,Costa Coffee,"282 E Barnet Rd, London, Barnet EN4 8TD, UK",51.642469,-0.1632437,Barnet
71,Costa Coffee,"14 Western Parade, New Barnet, Barnet EN5 1AD, UK",51.6458057,-0.1866354,Barnet
72,Costa Coffee,"28, The Spires, High St, Barnet EN5 5XY, United Kingdom",51.6554076,-0.2025212,Barnet
73,Costa Coffee,"Unit 28 The Spires Shopping Centre, High St, London EN5 5XY, United Kingdom",51.6555686,-0.2026435,Barnet
74,Costa Express,"A406, London N12 0SH, UK",51.607836,-0.0298769,Barnet
75,Crema Cafe,"9 Hampden Way, London N14 5JP, UK",51.6323002,-0.1423713,Barnet
76,Cricklewood Coffee Roasters,"Cricklewood Station, Cricklewood London NW2 1HL, United Kingdom",51.5584822,-0.2122412,Barnet
77,Dan & Decarlo,"20 High Rd, East Finchley, London N2 9PJ, UK",51.58748199999999,-0.163998,Barnet
78,Dorys Cafe High Barnet,"3 St Albans Rd, Barnet EN5 4LN, UK",51.65642,-0.202485,Barnet
79,Em's Coffee,"1336 High Rd, Whetstone, London N20 9HJ, UK",51.6321492,-0.1752448,Barnet
80,Epic cafe,"3 Western Parade, Great N Rd, New Barnet, Barnet EN5 1AD, UK",51.6462461,-0.1871679,Barnet
81,Greggs,"3 Watling Ave, Edgware HA8 0LQ, UK",51.601021,-0.2669403,Barnet
82,Greggs,"720 High Rd, North Finchley, London N12 9QD, UK",51.614027,-0.175917,Barnet
83,Greggs,"190C Station Rd, Edgware HA8 7AR, UK",51.6140674,-0.2755929,Barnet
84,Greggs Barnet High Street,"134 High St, Barnet EN5 5XQ, UK",51.6550308,-0.2015755,Barnet
85,Hendon Park Cafe,"Hendon Park, Queen's Rd, Hendon NW4 2TG, UK",51.5828552,-0.224349,Barnet
86,Kings Cafe,"8 Hendon Ln, Finchley, London N3 1TR, UK",51.5999978,-0.1963146,Barnet
87,LEON,"Unit S3, Prince Charles Dr, Hendon, London NW4 3NB, UK",51.5768534,-0.2240428,Barnet
88,La Esquina Cafe,"48 Cricklewood Ln, Cricklewood, London NW2 1HD, UK",51.5577383,-0.2132091,Barnet
89,M's Place,"787 High Rd, North Finchley, London N12 8JT, UK",51.6155681,-0.1769781,Barnet
90,Macchiato Bar,"Prince Charles Dr, Hendon, London NW4 3FP, UK",51.5769136,-0.2240895,Barnet
91,Macchiato Bar London,"63 Golders Green Rd, Golders Green, London NW11 8EL, UK",51.5723452,-0.1983894,Barnet
92,Maximo,"22 Station Rd, New Barnet, Barnet EN5 1QW, UK",51.6497257,-0.1748287,Barnet
93,Mill & Brew,"23 The Broadway, Mill Hill, London NW7 3DA, UK",51.61441259999999,-0.2483286,Barnet
94,Nespresso,"Prince Charles Dr, Hendon, London NW4 3FP, UK",51.5763186,-0.2238436,Barnet
95,Oak Caffe,"1 Oakleigh Rd N, Whetstone, London N20 9HE, UK",51.6299899,-0.1743947,Barnet
96,Patisserie Joie De Vie,"96 High St, Barnet EN5 5SN, UK",51.6536516,-0.2012736,Barnet
97,Piacere,"772 Finchley Rd, London NW11 7TH, UK",51.5814879,-0.1987201,Barnet
98,Potters Pantry,"4 Potters Rd, Barnet EN5 5HW, UK",51.651762,-0.1796181,Barnet
99,Robella,"332 Regents Park Rd, Finchley, London N3 2LN, UK",51.60022470000001,-0.1948338,Barnet
100,Sail & Anchor Coffee,"Mill Hill East Church, Salcombe Gardens, London NW7 2NT, United Kingdom",51.60892870000001,-0.2223232,Barnet
101,Starbucks,"East Court Cafe Brent Cross Shopping Centre, London NW4 3FG, United Kingdom",51.5765846,-0.2226897,Barnet
102,Starbucks,"Hyde Estate Rd, Hendon, London NW9 6JX, UK",51.5820287,-0.2444706,Barnet
103,Starbucks,"81-83 Station Rd, Edgware HA8 7JG, UK",51.6132773,-0.2768177,Barnet
104,Starbucks,"811 High Road Unit A, The Torrington Public House, London N12 8JR, United Kingdom",51.61633699999999,-0.1770064,Barnet
105,"Starbucks, Brent Cross Shopping Ctr - Lower","Shopping Centre, East Court, Cafe NW4 3FG, United Kingdom",51.5762888,-0.2241034,Barnet
106,"Starbucks, London Gatewaty - Welcome Break","M1 Motorway, Junction 2 4Mill HillKent CT18 8XX, United Kingdom",51.6309163,-0.2637284,Barnet
107,Sunset Coffee Shop & Shisha Bar,"London, Barnet EN4 8SS, United Kingdom",51.6431537,-0.1644376,Barnet
108,Tesco Café,"The Coppetts Centre, N Circular Rd, London N12 0SH, UK",51.60711999999999,-0.15471,Barnet
109,The Coffee Place,"61-63 Woodhouse Rd, North Finchley, London N12 9ET, UK",51.612082,-0.1725447,Barnet
110,The Wilds Cafe,"27 E Barnet Rd, London EN4 8RN, UK",51.650085,-0.171697,Barnet
111,Tintico,"2-4 Station Rd, Finchley, London N3 2RY, UK",51.601126,-0.193643,Barnet
112,Totally Espresso,"2 E End Rd, Finchley, London N3 3LT, UK",51.5967614,-0.1975202,Barnet
113,VAPOX vape + coffee,"55A Brent St, Hendon, London NW4 2EA, UK",51.585815,-0.220168,Barnet
114,VIBE CAFE,"Greenhill Parade, 6, Great N Way, London EN5 1ES, United Kingdom",51.6467457,-0.1869238,Barnet
115,Waitrose & Partners at London Gateway Services,"M1 Motorway, Junction 2/4, London NW7 3HB, United Kingdom",51.63117459999999,-0.2640133,Barnet
116,Whetstone Cafe,"1367 High Rd, Whetstone, London N20 9HH, UK",51.6329269,-0.1759247,Barnet
117,Arabica Coffee House Welling,"8A Bellegrove Rd, Welling DA16 3PR, UK",51.462726,0.106705,Bexley
118,Caffe Nuovo,"123 Station Rd, Sidcup DA15 7AJ, UK",51.434577,0.102025,Bexley
119,Caffè Nero,"89 High St, Sidcup DA14 6ED, UK",51.4265587,0.1013472,Bexley
120,Caffè Nero,"115 Broadway, Bexleyheath DA6 7HF, UK",51.456556,0.14414,Bexley
121,Chinchins coffee house,"171 Broadway, Bexleyheath DA6 7ES, UK",51.4570398,0.1407846,Bexley
122,Coffee Matters Int Ltd,"Omega House, Sidcup DA14 6NE, UK",51.4261932,0.09892519999999999,Bexley
123,Coffee Mill & Kitchen,"58 Bexley High St, Bexley DA5 1AJ, UK",51.44158059999999,0.1495323,Bexley
124,Coffee Shop,"95 Welling High St, Welling DA16 1TY, UK",51.462459,0.1087764,Bexley
125,Costa Coffee,"45 High St, Sidcup DA14 6EH, UK",51.4261927,0.1036547,Bexley
126,Costa Coffee,"TOWER RETAIL PARK, Unit 3, Crayford Rd, Dartford DA1 4LD, United Kingdom",51.45112229999999,0.1806176,Bexley
127,Costa Coffee,"Broadway, Bexleyheath DA6 7JN, UK",51.4558534,0.1457861,Bexley
128,Costa Coffee,"28 Embassy Court, Welling DA16 1TH, UK",51.46190929999999,0.1101649,Bexley
129,Costa Coffee,"6, Riverside Shopping Centre, Erith DA8 1SE, UK",51.4803243,0.180503,Bexley
130,Costa Coffee - Blackfen,"19 Blackfen Rd, Sidcup DA15 9LU, UK",51.4503902,0.1034904,Bexley
131,Costa Coffee - Sidcup Station,"1, Christopher House, 97-99 Station Rd, Sidcup DA15 7BS, United Kingdom",51.4334411,0.1024899,Bexley
132,Cuore - Food from the Earth,"278 Broadway, Bexleyheath DA6 8BE, UK",51.4580987,0.1351539,Bexley
133,Espresso Bar,"37 Bellegrove Rd, Welling DA16 3PB, UK",51.4627145,0.1053922,Bexley
134,Forest Cafe,"35 Forest Rd, Erith DA8 2NU, UK",51.4685746,0.1907668,Bexley
135,Giggling Sausage,"149 Broadway, Bexleyheath DA6 7EZ, UK",51.4568995,0.1418848,Bexley
136,Giggling Sausage,"229 Broadway, Bexleyheath DA6 7EJ, UK",51.4572762,0.1393142,Bexley
137,Greggs,"185-187 Crayford Rd, Dartford DA1 4HA, UK",51.4513274,0.1791379,Bexley
138,Greggs,"111 Broadway, Bexleyheath DA6 7JH, UK",51.4564461,0.1446843,Bexley
139,Greggs Sidcup,"51 High St, Sidcup DA14 6ED, UK",51.426243,0.1033714,Bexley
140,Love Coffee,"77 Broadway, Bexleyheath DA6 7JN, UK",51.4557043,0.1472946,Bexley
141,M&S Café revive,"13, 55 Market Pl, The Broadway, Bexleyheath DA6 7DZ, United Kingdom",51.4559226,0.1473896,Bexley
142,Mambocino,"Erith Shopping Centre, Erith High St, Erith DA8 1RG, UK",51.4803626,0.1802574,Bexley
143,Munchies,"228 Bexley Rd, Erith DA8 3HB, UK",51.4735334,0.1623528,Bexley
144,Oval cafe,"13 The Oval, London, Sidcup DA15 9ER, UK",51.4447151,0.1021478,Bexley
145,PARFAIT (Café),"96A Broadway, Bexleyheath DA6 7DE, UK",51.4565973,0.1457312,Bexley
146,Puccino's Cafe,"Station Approach, Welling DA16 3JA, UK",51.4647235,0.1016842,Bexley
147,Resta coffee,"Albany park station, Steynton Ave, Bexley DA5 3HP, United Kingdom",51.4356661,0.1257866,Bexley
148,Revival Community Music Café,"230 Broadway, Bexleyheath DA6 8AS, UK",51.457777,0.137657,Bexley
149,Starbucks Belvedere Norman Park Drive Thru,"Norman Park, Belvedere DA17 6LD, United Kingdom",51.49717580000001,0.1547983,Bexley
150,Starbucks Coffee,"Broadway Shopping Centre Unit 15, Bexleyheath DA6 7JN, United Kingdom",51.4563024,0.1459034,Bexley
151,Tanyard Lane Bar & Kitchen,"61-63 Bexley High St, Bexley DA5 1AA, UK",51.44165899999999,0.149302,Bexley
152,The Blue Flower Coffee Lounge,"16 Crayford High St, Dartford DA1 4HG, UK",51.4523374,0.1778433,Bexley
153,The Chunky Teapot,"167 Station Rd, Sidcup DA15 7AA, UK",51.4357985,0.1015465,Bexley
154,The Coffee Shop,"The Thames Innovation Centre, 2 Veridion Way, Erith DA18 4AL, UK",51.495932,0.1422437,Bexley
155,Tulip Cafe,"8 station parade, Sidcup DA15 7DB, UK",51.4331277,0.1030877,Bexley
156,Village Cafe,"70 Bexley High St, Bexley DA5 1AJ, UK",51.4416497,0.1500301,Bexley
157,Vintage Lindy Lou,"The Willows, Waterside DA1 4JJ, United Kingdom",51.45218149999999,0.1791639,Bexley
158,Violet's Vintage Tea Room,"10 Sidcup Hill, Sidcup DA14 6HH, UK",51.42429629999999,0.1070716,Bexley
159,Walnuts Cafe Restaurant,"107 Main Rd, Sidcup DA14 6ND, UK",51.4266473,0.09974849999999999,Bexley
160,Willows Cafe,"Princesses Parade, Waterside, Crayford High St, Dartford DA1 4JD, UK",51.45265699999999,0.178972,Bexley
161,Yum Yums Cafe,"4 Mill Row, Bexley DA5 1LA, UK",51.44112699999999,0.1506781,Bexley
162,5 Senses Juice & Coffee Bar,"1028 Harrow Rd, Kensal Green, London NW10 5NN, UK",51.5311592,-0.2303926,Brent
163,Ace Cafe London,"Ace Corner, N Circular Rd, London NW10 7UD, UK",51.54127940000001,-0.2777662,Brent
164,Black Sheep Coffee & Cocktails,"2 Olympic Way, London HA9 0GU, UK",51.561715,-0.2799586,Brent
165,Cable co.,"Bridge House, Chamberlayne Rd, Kensal Green, London NW10 3NR, UK",51.5348051,-0.2194452,Brent
166,Caffeine,"399 Kilburn High Rd, Kilburn, London NW6 7QE, UK",51.5462587,-0.2032,Brent
167,Caffè Nero,"Unit 79 Empire Way, Wembley HA9 0TG, UK",51.5613799,-0.2823096,Brent
168,Costa Coffee,"83 Salusbury Rd, Queen's Park, London NW6 6NH, UK",51.5357143,-0.2050616,Brent
169,Costa Coffee,"100 High St, Harlesden, London NW10 4SL, UK",51.5359811,-0.2453757,Brent
170,Costa Coffee,"73 Kilburn High Rd, Kilburn, London NW6 6HY, UK",51.5375707,-0.1932691,Brent
171,Costa Coffee,"Metropolitan Court, 40 High Road, London NW10 2QD, United Kingdom",51.5474818,-0.2272301,Brent
172,Costa Coffee,"43 Walm Ln, Willesden Green, London NW2 4QU, UK",51.5488454,-0.2215376,Brent
173,Costa Coffee,"Unit 4 - Wembley Central Station, London HA9 7AJ, United Kingdom",51.5521683,-0.2965539,Brent
174,Costa Coffee,"63 Cricklewood Broadway, Cricklewood, London NW2 3JR, UK",51.55390569999999,-0.2123371,Brent
175,Costa Coffee,"Wembley Park Blvd, London HA9 0FD, UK",51.556522,-0.2834744,Brent
176,Costa Coffee,"173 Cricklewood Broadway, Cricklewood, London NW2 3HX, UK",51.55669229999999,-0.2156646,Brent
177,Costa Coffee,"291-293 Neasden Ln, Neasden, London NW10 1QR, UK",51.5600087,-0.2520841,Brent
178,Costa Coffee,"Novotel London, 5 Olympic Way, Wembley HA9 0NP, UK",51.5613731,-0.2792646,Brent
179,Costa Coffee,"19 Bridge Rd, Wembley HA9 9AB, UK",51.5644835,-0.2778812,Brent
180,Costa Coffee,"247 Preston Rd, Harrow, Wembley HA3 0PS, UK",51.5718521,-0.2948766,Brent
181,Costa Coffee,"Northwick Park Hospital, Watford Rd, Harrow HA1 3UJ, United Kingdom",51.57515009999999,-0.3195181,Brent
182,Costa Coffee,"624 Kingsbury Road, Kingsbury Circle, London NW9 9HN, UK",51.5851097,-0.279398,Brent
183,Costa Coffee,"219 Edgware Rd, London NW9 6LP, UK",51.58765959999999,-0.2521441,Brent
184,Dark Habit,"72A Salusbury Rd, London NW6 6NU, UK",51.5367999,-0.2065668,Brent
185,Doppio Coffee Warehouse,"24 High St, Harlesden, London NW10 4LX, UK",51.5369576,-0.2487273,Brent
186,Greggs,"504 High Rd, Wembley HA9 7BH, UK",51.5530465,-0.2956547,Brent
187,Greggs,"461 Kingsbury Road, London NW9 9DY, UK",51.585663,-0.2762479,Brent
188,Hardwork,"47 Burnt Oak Broadway, Edgware HA8 5JZ, UK",51.5999037,-0.2668987,Brent
189,Maison Vie,"200 Kilburn High Rd, Kilburn, London NW6 4JD, UK",51.5414098,-0.1971856,Brent
190,Nest Cafe,"Willesden Green Station, Tube Station, Walm Ln, London NW2 4QT, United Kingdom",51.54918379999999,-0.2211111,Brent
191,O Tamariz,"156 Manor Park Rd, Harlesden, London NW10 4JR, UK",51.538945,-0.2496011,Brent
192,P 2 M Coffee Ltd,"289a Neasden Ln, Neasden, London NW10 1QR, UK",51.5600764,-0.2518528,Brent
193,Parlour,"5 Regent St, Kensal Green, London NW10 5LG, UK",51.5287216,-0.2166506,Brent
194,Patisserie Patchi,"28 Abbey Rd, Park Royal, London NW10 7SB, UK",51.5327339,-0.2749805,Brent
195,Starbucks,"Cineworld Cinemas London Designer Outlet, Wembley Park Blvd, Wembley HA9 0FD, United Kingdom",51.5566478,-0.2832745,Brent
196,Starbucks,"Brent Civic Centre, Engineers Way, Wembley HA9 0FJ, UK",51.5586849,-0.281987,Brent
197,Starbucks Coffee,"89 Salusbury Rd, Queen's Park, London NW6 6NN, UK",51.53584679999999,-0.2052306,Brent
198,Starbucks Coffee,"Olympic Way, London HA9 0FR, UK",51.5598286,-0.2792443,Brent
199,Stout and Coffee Bar,"Wembley Stadium, London HA9 0WS, UK",51.5566995,-0.2789585,Brent
200,Witch Cafe,"49 High Rd, Willesden, London NW10 2TE, UK",51.547379,-0.226799,Brent
201,XOXO Coffee & Patisserie,"68 Walm Ln, Willesden, London NW2 4RA, UK",51.5483082,-0.2221417,Brent
202,Arabica Coffee House,"2 Chatsworth Parade, Orpington BR5 1DF, UK",51.38871270000001,0.0732492,Bromley
203,Belmondo Coffee,"Brittenden Parade, High St, Orpington BR6 6DD, UK",51.35567289999999,0.0898255,Bromley
204,Big Breakfast,"82 High St, Beckenham BR3 1ED, UK",51.4082802,-0.0253301,Bromley
205,Blue Belle Cafe,"182 Maple Rd, London SE20 8JB, UK",51.415167,-0.054642,Bromley
206,Branching Out,"149 Croydon Rd, Beckenham BR3 3QH, UK",51.3991288,-0.0405511,Bromley
207,Bread & Butter,"27 Windsor Dr, Orpington BR6 6EY, UK",51.3564109,0.1053391,Bromley
208,Brown & Green at the Station,"Crystal Palace Station Rd, London SE19 2BF, UK",51.4183274,-0.0726222,Bromley
209,Cafe Chic,"25 Anerley Rd, Crystal Palace, London SE19 2AS, UK",51.4169439,-0.0730121,Bromley
210,Caffè Nero,"55 High St, West Wickham BR4 0NX, UK",51.3760906,-0.0174336,Bromley
211,Caffè Nero,"12-14 High St, Bromley BR1 1AD, UK",51.4000809,0.0168,Bromley
212,Caffè Nero,"164 High St, Beckenham BR3 1EW, UK",51.4075818,-0.0276524,Bromley
213,Caffè Nero,"12 High St, Chislehurst BR7 5AN, UK",51.4179858,0.0679893,Bromley
214,Caffè Nero Bromley Glades,"The Glades Shopping Centre, High St, Bromley BR1 1DN, UK",51.4027784,0.015648,Bromley
215,Chaplin’s Café,"171 Widmore Rd, Bromley BR1 1RN, UK",51.406282,0.03289,Bromley
216,Coffee Cup House,"68 Beckenham Rd, Beckenham BR3 4PT, UK",51.409048,-0.0408461,Bromley
217,Coffee X,"20 Station Square, Orpington BR5 1NA, UK",51.3895931,0.0744772,Bromley
218,Community Coffee Shop,"174 Maple Rd, London SE20 8JB, UK",51.4150335,-0.0547441,Bromley
219,Corzâ Cafe Bar Restaurant,"111 -113 High St, West Wickham BR4 0LT, UK",51.3767582,-0.0199487,Bromley
220,Costa Coffee,"358 Crofton Rd, Orpington BR6 8NN, UK",51.3673041,0.05473869999999999,Bromley
221,Costa Coffee,"9 Augustus Ln, Orpington BR6 0NH, UK",51.3735767,0.09620840000000001,Bromley
222,Costa Coffee,"34 High St, West Wickham BR4 0SN, UK",51.37611949999999,-0.0162849,Bromley
223,Costa Coffee,"51 Station Approach, Bromley BR2 7EB, UK",51.37624,0.011309,Bromley
224,Costa Coffee,"196 High St, Orpington BR6 0JN, UK",51.377213,0.100028,Bromley
225,Costa Coffee,"79 Queensway, Orpington BR5 1DQ, UK",51.3884185,0.07303219999999999,Bromley
226,Costa Coffee,"3 Station Square, Orpington BR5 1LY, UK",51.39000799999999,0.075131,Bromley
227,Costa Coffee,"151 Westmoreland Rd, Bromley BR2 0TZ, UK",51.39206009999999,0.0011738,Bromley
228,Costa Coffee,"Nugent Shopping Park, Unit 16, Cray Ave, Orpington BR5 3RP, United Kingdom",51.3929965,0.1120892,Bromley
229,Costa Coffee,"Elmers End, Croydon Road, Beckenham, London BR3 4AA, United Kingdom",51.3970556,-0.0499626,Bromley
230,Costa Coffee,"28 The Glades Shopping Centre, Bromley BR1 1DD, United Kingdom",51.40444859999999,0.0163355,Bromley
231,Costa Coffee,"33 - 34 Market Square, Bromley BR1 1NF, UK",51.4055167,0.0151719,Bromley
232,Costa Coffee,"194-200 High St, Beckenham BR3 1EN, UK",51.4068678,-0.0281835,Bromley
233,Costa Coffee,"Edgington Way, Orpington, Sidcup DA14 5BN, UK",51.4126158,0.122595,Bromley
234,Costa Coffee,"1a Coleman House, High St, London SE20 7EX, United Kingdom",51.4148223,-0.0526886,Bromley
235,Costa Coffee,"53 High St, Chislehurst BR7 5AF, UK",51.4180722,0.0673872,Bromley
236,Costa Coffee - Biggin Hill,"184-184a, Main Rd, Biggin Hill, Westerham TN16 3BB, UK",51.30851149999999,0.0380472,Bromley
237,Cow & Bean,"31 Station Square, Orpington BR5 1LZ, UK",51.38924249999999,0.0750068,Bromley
238,Creams Cafe Bromley,"12 Elmfield Rd, Bromley BR1 1LP, UK",51.402522,0.016531,Bromley
239,Daily Grind,"Station Approach, Orpington BR6 0SX, UK",51.3729504,0.0896676,Bromley
240,Eden Cafe,"440 Upper Elmers End Rd, Beckenham BR3 3HQ, UK",51.3894672,-0.0267174,Bromley
241,Fee & Brown,"50 High St, Beckenham BR3 1AY, UK",51.4091083,-0.0252813,Bromley
242,Feel Good Cafe,"91 Station Rd, West Wickham BR4 0PX, UK",51.376592,-0.0142851,Bromley
